DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2012-03-31	22219177	Tao S	2012-01-04	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/22219177	A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.	Prostate cancer (interaction)	4,723 European ancestry cases, 4,792 European ancestry controls	NA	7q31.1 x 17q24.3	7 x 17	109363517 x 71112612	C7orf66 x NR	LOC646614 - LOC100421901 x CASC17						rs10277209-? x rs1859962-?	rs10277209 x rs1859962	0		intergenic_variant x intron_variant		NR	4E-6	5.3979400086720375		1.36	[1.19-1.55]	Affymetrix, Illumina [1117531] (imputed)	N
2012-03-31	22219177	Tao S	2012-01-04	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/22219177	A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.	Prostate cancer (interaction)	4,723 European ancestry cases, 4,792 European ancestry controls	NA	9q33.1 x 3q21.3	9 x 3	115068533 x 128319530	TNC x EEFSEC	TNC x EEFSEC						rs7847271-? x rs10934853-?	rs7847271 x rs10934853	0		intron_variant x intron_variant		NR	4E-6	5.3979400086720375		1.4925	[1.27-1.79]	Affymetrix, Illumina [1117531] (imputed)	N
2012-03-31	22219177	Tao S	2012-01-04	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/22219177	A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.	Prostate cancer (interaction)	4,723 European ancestry cases, 4,792 European ancestry controls	NA	3p26.3 x 22q13.1	3 x 22	1470903 x 40056115	CNTN6 x TNRC6B	CNTN6 - RPL23AP38 x TNRC6B						rs6763848-? x rs9623117-?	rs6763848 x rs9623117	0		intergenic_variant x intron_variant		NR	4E-6	5.3979400086720375		1.3	[1.16-1.45]	Affymetrix, Illumina [1117531] (imputed)	N
2012-03-31	22219177	Tao S	2012-01-04	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/22219177	A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.	Prostate cancer (interaction)	4,723 European ancestry cases, 4,792 European ancestry controls	NA	13q14.11 x 2p21	13 x 2	44063269 x 43326810	NCRNA00284 x THADA	LINC00284 - LOC105370183 x THADA						rs9567349-? x rs1465618-?	rs9567349 x rs1465618	0		intergenic_variant x intron_variant		NR	4E-6	5.3979400086720375		1.6393	[1.33-2.04]	Affymetrix, Illumina [1117531] (imputed)	N
2012-03-31	22219177	Tao S	2012-01-04	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/22219177	A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.	Prostate cancer (interaction)	4,723 European ancestry cases, 4,792 European ancestry controls	NA	15q14 x 8q24.21	15 x 8	34776108 x 127401060	ACTC1 x NR	LOC101928174 x CCAT2, CASC8						rs543686-? x rs6983267-?	rs543686 x rs6983267	0		intron_variant x non_coding_transcript_exon_variant		NR	4E-6	5.3979400086720375		1.24	[1.13-1.35]	Affymetrix, Illumina [1117531] (imputed)	N
2012-03-31	22219177	Tao S	2012-01-04	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/22219177	A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.	Prostate cancer (interaction)	4,723 European ancestry cases, 4,792 European ancestry controls	NA	22q12.1 x 8q24.21	22 x 8	27456222 x 127310936	MN1 x NR	LOC105372980 - LOC105372981 x CASC21, CASC8						rs6005451-? x rs445114-?	rs6005451 x rs445114	0		downstream_gene_variant x intron_variant		NR	4E-6	5.3979400086720375		1.42	[1.22-1.65]	Affymetrix, Illumina [1117531] (imputed)	N
2012-03-31	22219177	Tao S	2012-01-04	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/22219177	A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.	Prostate cancer (interaction)	4,723 European ancestry cases, 4,792 European ancestry controls	NA	22q11.22 x 4q24	22 x 4	22490916 x 105140377	ZNF280B x TET2	ZNF280B, IGL x LOC100288146 - TET2						rs5751168-? x rs7679673-?	rs5751168 x rs7679673	0		intron_variant x intron_variant		NR	4E-6	5.3979400086720375		1.44	[1.23-1.67]	Affymetrix, Illumina [1117531] (imputed)	N
2012-03-31	22219177	Tao S	2012-01-04	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/22219177	A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.	Prostate cancer (interaction)	4,723 European ancestry cases, 4,792 European ancestry controls	NA	18q12.1 x Xp11.22	18 x X	33347811 x 51498820	C18orf34 x NUDT10	CCDC178 x NUDT11 - LINC01496						rs6507016-? x rs5945619-?	rs6507016 x rs5945619	0		intron_variant x upstream_gene_variant		NR	4E-6	5.3979400086720375		1.2821	[1.15-1.41]	Affymetrix, Illumina [1117531] (imputed)	N
2012-03-31	22219177	Tao S	2012-01-04	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/22219177	A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.	Prostate cancer (interaction)	4,723 European ancestry cases, 4,792 European ancestry controls	NA	22q13.1 x 11p15.5	22 x 11	40279087 x 2212344	TNRC6B x IGF2, IGF2AS, INS, TH	TNRC6B x TH - ASCL2						rs4821941-? x rs7127900-?	rs4821941 x rs7127900	0		intron_variant x intergenic_variant		NR	4E-6	5.3979400086720375		1.3	[1.16-1.46]	Affymetrix, Illumina [1117531] (imputed)	N
2012-03-31	22219177	Tao S	2012-01-04	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/22219177	A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.	Prostate cancer (interaction)	4,723 European ancestry cases, 4,792 European ancestry controls	NA	2q13 x 11p15.5	2 x 11	111039954 x 2212344	ACOXL x IGF2, IGF2AS, INS, TH	ACOXL x TH - ASCL2						rs3789080-? x rs7127900-?	rs3789080 x rs7127900	0		intron_variant x intergenic_variant		NR	4E-6	5.3979400086720375		1.4085	[1.22-1.64]	Affymetrix, Illumina [1117531] (imputed)	N
2012-03-31	22219177	Tao S	2012-01-04	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/22219177	A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.	Prostate cancer (interaction)	4,723 European ancestry cases, 4,792 European ancestry controls	NA	11p15.2 x 4q24	11 x 4	15333700 x 105140377	INSC x TET2	INSC - LOC105376569 x LOC100288146 - TET2						rs11605083-? x rs7679673-?	rs11605083 x rs7679673	0		intergenic_variant x intron_variant		NR	4E-6	5.3979400086720375		1.28	[1.15-1.43]	Affymetrix, Illumina [1117531] (imputed)	N
2012-03-31	22219177	Tao S	2012-01-04	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/22219177	A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.	Prostate cancer (interaction)	4,723 European ancestry cases, 4,792 European ancestry controls	NA	1p34.3 x 17q12	1 x 17	37731169 x 37738049	EPHA10 x HNF1B	EPHA10 x HNF1B						rs731174-? x rs4430796-?	rs731174 x rs4430796	0		intron_variant x intron_variant		NR	5E-6	5.301029995663981		1.27	[1.15-1.40]	Affymetrix, Illumina [1117531] (imputed)	N
2012-03-31	22219177	Tao S	2012-01-04	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/22219177	A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.	Prostate cancer (interaction)	4,723 European ancestry cases, 4,792 European ancestry controls	NA	16q12.1 x 7q21.3	16 x 7	49360365 x 98187015	C16orf78 x LMTK2	LOC105371243 - C16orf78 x LMTK2						rs8057939-? x rs6465657-?	rs8057939 x rs6465657	0		intergenic_variant x intron_variant		NR	5E-6	5.301029995663981		1.37	[1.20-1.57]	Affymetrix, Illumina [1117531] (imputed)	N
2012-03-31	22219177	Tao S	2012-01-04	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/22219177	A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.	Prostate cancer (interaction)	4,723 European ancestry cases, 4,792 European ancestry controls	NA	3p12.1 x 4q22.3	3 x 4	86845328 x 94641726	VGLL3 x PDLIM5	LOC101927518 - LOC105377196 x PDLIM5						rs9757252-? x rs17021918-?	rs9757252 x rs17021918	0		intergenic_variant x intron_variant		NR	5E-6	5.301029995663981		1.25	[1.13-1.37]	Affymetrix, Illumina [1117531] (imputed)	N
2012-03-31	22219177	Tao S	2012-01-04	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/22219177	A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.	Prostate cancer (interaction)	4,723 European ancestry cases, 4,792 European ancestry controls	NA	6p22.3 x 8q24.21	6 x 8	17813594 x 126999692	KIF13A x NR	KIF13A x LOC105375751						rs10456809-? x rs10086908-?	rs10456809 x rs10086908	0		intron_variant x intron_variant		NR	5E-6	5.301029995663981		1.25	[1.14-1.38]	Affymetrix, Illumina [1117531] (imputed)	N
2012-03-31	22219177	Tao S	2012-01-04	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/22219177	A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.	Prostate cancer (interaction)	4,723 European ancestry cases, 4,792 European ancestry controls	NA	3q26.31 x 7p15.1	3 x 7	173125487 x 27936944	SPATA16 x JAZF1	SPATA16, LOC105374220 x JAZF1						rs11720607-? x rs10486567-?	rs11720607 x rs10486567	0		intron_variant x intron_variant		NR	5E-6	5.301029995663981		1.3699	[1.20-1.59]	Affymetrix, Illumina [1117531] (imputed)	N
2012-03-31	22219177	Tao S	2012-01-04	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/22219177	A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.	Prostate cancer (interaction)	4,723 European ancestry cases, 4,792 European ancestry controls	NA	6q12 x 6q25.3	6 x 6	68584593 x 160412632	BAI3 x NR	LOC101928280 - LOC101928307 x SLC22A3						rs9351730-? x rs9364554-?	rs9351730 x rs9364554	0		intergenic_variant x intron_variant		NR	5E-6	5.301029995663981		1.25	[1.13-1.37]	Affymetrix, Illumina [1117531] (imputed)	N
2012-03-31	22219177	Tao S	2012-01-04	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/22219177	A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.	Prostate cancer (interaction)	4,723 European ancestry cases, 4,792 European ancestry controls	NA	1p35.3 x 19q13.2	1 x 19	29712815 x 38244973	PTPRU x NR	LOC107984934 - LOC101929406 x DPF1 - PPP1R14A						rs1866967-? x rs8102476-?	rs1866967 x rs8102476	0		upstream_gene_variant x intron_variant		NR	5E-6	5.301029995663981		1.2195	[1.12-1.33]	Affymetrix, Illumina [1117531] (imputed)	N
2017-02-03	27262462	Teerlink CC	2016-06-04	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/27262462	Genome-wide association of familial prostate cancer cases identifies evidence for a rare segregating haplotype at 8q24.21.	Prostate cancer	2,511 European ancestry cases, 1,382 European ancestry controls	NA	6q25.3	6	160421505	SLC22A3	SLC22A3			6581			rs3123636-C	rs3123636	0	3123636	intron_variant	0	0.356	3E-9	8.522878745280337		1.37	[1.23-1.51]	Illumina [~ 9400000] (imputed)	N
2017-02-03	27262462	Teerlink CC	2016-06-04	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/27262462	Genome-wide association of familial prostate cancer cases identifies evidence for a rare segregating haplotype at 8q24.21.	Prostate cancer	2,511 European ancestry cases, 1,382 European ancestry controls	NA	10q11.22	10	46057653	TIMM23	MSMB - RPL23AP61	4477	728484		11384	5597	rs10763567-A	rs10763567	0	10763567	regulatory_region_variant	1	0.489	6E-10	9.221848749616356		1.31	[1.19-1.44]	Illumina [~ 9400000] (imputed)	N
2017-02-03	27262462	Teerlink CC	2016-06-04	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/27262462	Genome-wide association of familial prostate cancer cases identifies evidence for a rare segregating haplotype at 8q24.21.	Prostate cancer	2,511 European ancestry cases, 1,382 European ancestry controls	NA	11q13.3	11	69244777	MYEOV	LOC105369367 - LOC105369368	105369367	105369368		9841	3224	rs12270641-T	rs12270641	0	12270641	intergenic_variant	1	0.45	1E-11	11.0		1.4	[1.27-1.55]	Illumina [~ 9400000] (imputed)	N
2017-02-03	27262462	Teerlink CC	2016-06-04	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/27262462	Genome-wide association of familial prostate cancer cases identifies evidence for a rare segregating haplotype at 8q24.21.	Prostate cancer	2,511 European ancestry cases, 1,382 European ancestry controls	NA	17q12	17	37742390	HNF1B	HNF1B			6928			rs11651052-A	rs11651052	0	11651052	intron_variant	0	0.435	3E-10	9.522878745280337		1.37	[1.24-1.51]	Illumina [~ 9400000] (imputed)	N
2017-02-03	27262462	Teerlink CC	2016-06-04	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/27262462	Genome-wide association of familial prostate cancer cases identifies evidence for a rare segregating haplotype at 8q24.21.	Prostate cancer	2,511 European ancestry cases, 1,382 European ancestry controls	NA	8q24.21	8	127101181	PRNCR1	PRNCR1 - LOC105375752	101867536	105375752		8586	38877	rs56005245-T	rs56005245	0	56005245	intergenic_variant	1	0.225	1E-8	8.0		1.41	[1.25-1.59]	Illumina [~ 9400000] (imputed)	N
2017-02-03	27262462	Teerlink CC	2016-06-04	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/27262462	Genome-wide association of familial prostate cancer cases identifies evidence for a rare segregating haplotype at 8q24.21.	Prostate cancer	2,511 European ancestry cases, 1,382 European ancestry controls	NA	8q24.21	8	127196124	CASC19	CASC19			103021165			rs138042437-G	rs138042437	0	138042437	intron_variant	0	0.015	2E-8	7.698970004336019		13.25	[5.37-32.69]	Illumina [~ 9400000] (imputed)	N
2017-02-03	27262462	Teerlink CC	2016-06-04	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/27262462	Genome-wide association of familial prostate cancer cases identifies evidence for a rare segregating haplotype at 8q24.21.	Prostate cancer	2,511 European ancestry cases, 1,382 European ancestry controls	NA	8q24.21	8	127311646	CASC8, CASC21	CASC21, CASC8			103021164, 727677			rs4506170-C	rs4506170	0	4506170	intron_variant	0	0.166	2E-9	8.698970004336019		1.51	[1.32-1.73]	Illumina [~ 9400000] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	1p36.22	1	10503552	PEX14	PEX14			5195			rs10864459-?	rs10864459	0	10864459	intron_variant	0	0.6799999999999999	2E-9	8.698970004336019		1.1111112	[1.08-1.15]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	1q32.1	1	202209914	LGR6	LGR6			59352			rs17489300-?	rs17489300	0	17489300	intron_variant	0	0.6	9E-10	9.045757490560675		1.1111112	[1.08-1.15]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	1q32.1	1	204549714	MDM4	MDM4			4194			rs4245739-?	rs4245739	0	4245739	3_prime_UTR_variant	0	0.26	6E-15	14.221848749616356		1.13	[1.11-1.19]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	2p24.1	2	19121042	Intergenic	LOC105373455 - MIR4757	105373455	100616307		54972	227387	rs12710696-?	rs12710696	0	12710696	intron_variant	1	0.36	2E-8	7.698970004336019		1.1	[1.06-1.13]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	2q14.2	2	120330606	INHBB	LOC105373584 - LOC105373989	105373584	105373989		11282	11844	rs11903787-?	rs11903787	0	11903787	downstream_gene_variant	1	0.75	9E-7	6.045757490560675		1.1111112	[1.06-1.16]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	5p15.33	5	1279913	TERT	TERT			7015			rs2242652-?	rs2242652	0	2242652	intron_variant	0	0.2	3E-14	13.522878745280337		1.18	[1.13-1.23]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	5p15.33	5	1282204	TERT	TERT			7015			rs7726159-?	rs7726159	0	7726159	intron_variant	0	0.34	2E-6	5.698970004336019		1.09	[1.05-1.13]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	5p15.33	5	1297373	TERT	TERT - MIR4457	7015	100616235		1747	11937	rs2736108-?	rs2736108	0	2736108	upstream_gene_variant	1	0.71	1E-8	8.0		1.1235955	[1.08-1.16]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	6q25.1	6	151597721	ESR1	CCDC170			80129			rs12662670-?	rs12662670	0	12662670	intron_variant	0	0.08	9E-15	14.045757490560675		1.2	[1.18-1.32]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	6q25.1	6	151625017	ESR1	CCDC170 - ESR1	80129	2099		3824	29131	rs11155804-?	rs11155804	0	11155804	downstream_gene_variant	1	0.34	8E-18	17.096910013008056		1.16	[1.12-1.19]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	10q21.2	10	62518923	ZNF365	ZNF365			22891			rs10995190-?	rs10995190	0	10995190	intron_variant	0	0.84	4E-8	7.3979400086720375		1.1235955	[1.08-1.18]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	11p15.5	11	1880867	LSP1	LSP1			4046			rs4980383-?	rs4980383	0	4980383	non_coding_transcript_exon_variant	0	0.44	3E-6	5.522878745280337		1.08	[1.05-1.12]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	12p11.22	12	28021884	PTHLH	PTHLH - LOC105369710	5744	105369710		47697	39757	rs7297051-?	rs7297051	0	7297051	regulatory_region_variant	1	0.76	1E-14	14.0		1.1627907	[1.12-1.2]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	12p11.22	12	28002147	PTHLH	PTHLH - LOC105369710	5744	105369710		27960	59494	rs10771399-?	rs10771399	0	10771399	intergenic_variant	1	0.88	4E-13	12.397940008672037		1.2658228	[1.15-1.28]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	16q12.1	16	52565276	TOX3	CASC16			643714			rs4784227-?	rs4784227	0	4784227	intron_variant	0	0.24	1E-14	14.0		1.15	[1.11-1.19]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	16q12.2	16	53779455	FTO	FTO			79068			rs17817449-?	rs17817449	0	17817449	intron_variant	0	0.5900000000000001	3E-7	6.522878745280337		1.098901	[1.05-1.12]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	16q12.2	16	53821379	FTO	FTO			79068			rs11075995-?	rs11075995	0	11075995	intron_variant	0	0.24	3E-8	7.522878745280337		1.11	[1.07-1.15]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	19p13.11	19	17283116	ADHB8	ANKLE1			126549			rs56069439-?	rs56069439	0	56069439	non_coding_transcript_exon_variant	0	0.3	8E-19	18.096910013008056		1.16	[1.13-1.20]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	19p13.11	19	17278895	MERIT40	BABAM1			29086			rs8170-?	rs8170	0	8170	synonymous_variant	0	0.19	1E-12	12.0		1.15	[1.11-1.20]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	2p23.2	2	28896719	WDR43	WDR43			23160			rs67073037-?	rs67073037	0	67073037	intron_variant	0	0.76	3E-6	5.522878745280337		1.0869565	[1.05-1.14]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	2q33.1	2	200878871	PPIL3, CLK1, FAM126B, NDUFB3	PPIL3			53938			rs115635831-?	rs115635831	0	115635831	intron_variant	0	0.015	1E-6	6.0		1.36	[1.20-1.54]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	13q22.1	13	73232845	KLF5, KLF12	RNY1P8 - MARK2P12	100873807	100421565		5585	174944	rs12870942-?	rs12870942	0	12870942	intergenic_variant	1	0.32	3E-7	6.522878745280337		1.09	[1.05-1.13]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	9p21.3	9	22062135	NR	CDKN2B-AS1			100048912			rs1011970-?	rs1011970	0	1011970	intron_variant	0	0.17	2E-6	5.698970004336019		1.11	[1.06-1.15]	Illumina [10909381] (imputed)	N
2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	12q22	12	95633983	NR	USP44 - PGAM1P5	84101	100132594		82454	15272	rs17356907-?	rs17356907	0	17356907	intron_variant	1	0.7	3E-6	5.522878745280337		1.098901	[1.69-1.14]	Illumina [10909381] (imputed)	N
